,,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
71483861,2018-03-15,395152,CloudPBX,43.6319,-79.3716,5607,Sky UK Limited,53.2738,-2.6087
65221709,2018-01-11,395152,CloudPBX,43.6319,-79.3716,3356,"Level 3 Parent, LLC",37.751,-97.822
64743723,2018-01-04,395152,CloudPBX,43.6319,-79.3716,32308,"8x8, Inc.",37.751,-97.822
65528895,2018-01-15,395152,CloudPBX,43.6319,-79.3716,16504,Granite Telecommunications LLC,37.751,-97.822
78144650,2018-05-23,395152,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",37.751,-97.822
64754858,2018-01-04,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.262,-123.0923
70408342,2018-03-07,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.0374,-122.8299
64561876,2018-01-02,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2795,-123.0667
67582920,2018-02-07,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.1064,-122.8251
77054765,2018-05-09,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.0791,-122.7553
65998948,2018-01-22,395152,CloudPBX,43.6319,-79.3716,6983,"Earthlink, Inc.",32.468,-96.9873
70570707,2018-03-08,395152,CloudPBX,43.6319,-79.3716,5645,"TekSavvy Solutions, Inc.",43.7068,-79.517
74490921,2018-04-13,395152,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",45.4509,-122.6962
66137272,2018-01-23,395152,CloudPBX,43.6319,-79.3716,5769,Videotron Telecom Ltee,45.5394,-73.6513
78200545,2018-05-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.5588,-80.3004
64566723,2018-01-02,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.9856,-81.1821
73252112,2018-04-03,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.4396,-79.6878
72175509,2018-03-21,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.2514,-79.8925
78128023,2018-05-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.6655,-79.4204
78128132,2018-05-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.9001,-78.9329
66120494,2018-01-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.2211,-79.7994
75255151,2018-04-22,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.2266,-79.8499
74399507,2018-04-13,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.3799,-79.7668
77792774,2018-05-16,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.2271,-79.871
67836203,2018-02-09,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.5647,-79.5852
74192260,2018-04-11,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.9915,-81.3402
78133087,2018-05-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.6655,-79.4378
65062548,2018-01-09,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.8625,-119.5833
65783942,2018-01-18,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2998,-117.6689
73315760,2018-04-03,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.4806,-119.5858
64643747,2018-01-03,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.4999,-117.2855
74093357,2018-04-10,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.812,-119.5076
77995467,2018-05-21,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.8928,-119.4852
76048861,2018-04-30,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2275,-122.9301
77343510,2018-05-11,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.1836,-123.1168
64555679,2018-01-02,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.299,-123.1408
64534342,2018-01-02,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2272,-122.9574
64550514,2018-01-02,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2788,-123.1139
64550768,2018-01-02,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2795,-123.0667
64600822,2018-01-03,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2151,-123.1396
64765152,2018-01-04,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.17,-123.1368
76243580,2018-05-01,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.262,-123.0923
65113789,2018-01-09,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2175,-123.038
73477262,2018-04-04,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2833,-123.1298
65272124,2018-01-11,395152,CloudPBX,43.6319,-79.3716,21804,Access Communications Co-operative Limited,50.15,-101.6667
65196014,2018-01-10,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,48.4777,-123.3658
66124877,2018-01-23,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.8669,-79.4414
66169972,2018-01-24,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.6861,-79.4025
78140523,2018-05-23,395152,CloudPBX,43.6319,-79.3716,33363,"BRIGHT HOUSE NETWORKS, LLC",40.5099,-85.6264
66147834,2018-01-23,395152,CloudPBX,43.6319,-79.3716,33363,"BRIGHT HOUSE NETWORKS, LLC",39.895,-86.1804
64624110,2018-01-03,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.4443,-80.4891
66114481,2018-01-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.9888,-82.3592
66107297,2018-01-23,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.95,-82.1167
68168750,2018-02-14,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,43.1836,-79.9902
71757427,2018-03-19,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,44.9001,-76.2494
64818986,2018-01-05,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9578,-82.2777
78146480,2018-05-23,395152,CloudPBX,43.6319,-79.3716,33363,"BRIGHT HOUSE NETWORKS, LLC",40.0698,-85.9817
66124257,2018-01-23,395152,CloudPBX,43.6319,-79.3716,33363,"BRIGHT HOUSE NETWORKS, LLC",39.9738,-86.1765
67658139,2018-02-08,395152,CloudPBX,43.6319,-79.3716,18834,Network IP,32.5051,-94.7066
71331570,2018-03-15,395152,CloudPBX,43.6319,-79.3716,11260,EastLink,45.2,-64.1167
64492824,2018-01-01,395152,CloudPBX,43.6319,-79.3716,11260,EastLink,44.6508,-63.6146
77342913,2018-05-11,395152,CloudPBX,43.6319,-79.3716,11260,EastLink,45.0963,-63.4701
66117289,2018-01-23,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.6319,-79.3716
65237752,2018-01-11,395152,CloudPBX,43.6319,-79.3716,14618,"Amazon.com, Inc.",39.0481,-77.4728
67430131,2018-02-06,395152,CloudPBX,43.6319,-79.3716,9009,M247 Ltd,25.9122,-80.3965
66128788,2018-01-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.9976,-81.2563
72166515,2018-03-21,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.8,-79.4167
78478409,2018-05-28,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.4881,-79.7098
66110631,2018-01-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.1447,-79.2634
65911372,2018-01-19,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.5924,-79.7611
66960788,2018-02-01,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.2313,-79.9049
78127876,2018-05-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.2001,-79.5663
74986412,2018-04-19,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.2055,-79.9004
68032535,2018-02-13,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.6656,-79.383
66108621,2018-01-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.4032,-79.7186
78162619,2018-05-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.5148,-79.884
78144034,2018-05-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.0233,-81.1643
78167279,2018-05-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.6605,-79.4633
78148970,2018-05-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.0147,-81.3049
66123571,2018-01-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.7486,-81.7084
65995833,2018-01-22,395152,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",39.1604,-119.8618
66126917,2018-01-23,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.1783,-82.7715
66142256,2018-01-23,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.3333,-82.0
67882274,2018-02-10,395152,CloudPBX,43.6319,-79.3716,51865,DIDWW Ireland Limited,53.3472,-6.2439
74897584,2018-04-18,395152,CloudPBX,43.6319,-79.3716,36351,SoftLayer Technologies Inc.,47.6062,-122.3321
66408871,2018-01-26,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2779,-123.0908
64889938,2018-01-06,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.6511,-112.8351
65566506,2018-01-16,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.4721,-112.2408
64550012,2018-01-02,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.3222,-123.0834
70262381,2018-03-06,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.316,-123.0576
64906736,2018-01-07,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2302,-122.9952
64557536,2018-01-02,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,50.0163,-124.3226
64578762,2018-01-02,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,50.1208,-122.9544
64537282,2018-01-02,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2068,-122.4851
64499930,2018-01-01,395152,CloudPBX,43.6319,-79.3716,36351,SoftLayer Technologies Inc.,32.7787,-96.8217
66210232,2018-01-24,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.0331,-123.0877
74219121,2018-04-11,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,52.1415,-122.1445
64495691,2018-01-01,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.8625,-119.5833
64571876,2018-01-02,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.0423,-122.2835
65968115,2018-01-22,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.141,-122.8569
65433476,2018-01-13,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.6,-119.6667
67790456,2018-02-09,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,53.4154,-113.4178
72166190,2018-03-21,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,44.3572,-79.6929
64527631,2018-01-02,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.4238,-82.1183
66142021,2018-01-23,395152,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",42.2639,-88.8443
78162351,2018-05-23,395152,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",37.751,-97.822
66117721,2018-01-23,395152,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",41.8876,-87.6368
66118937,2018-01-23,395152,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783
66110235,2018-01-23,395152,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",39.3656,-76.6199
71632489,2018-03-16,395152,CloudPBX,43.6319,-79.3716,16509,"Amazon.com, Inc.",45.8696,-119.688
71539672,2018-03-16,395152,CloudPBX,43.6319,-79.3716,702,"MCI Communications Services, Inc. d/b/a Verizon Business",53.3472,-6.2439
65502424,2018-01-15,395152,CloudPBX,43.6319,-79.3716,63440,TELNYX LLC,37.751,-97.822
71225748,2018-03-14,395152,CloudPBX,43.6319,-79.3716,32222,AccessLine Communications Corp.,47.6154,-122.2103
66337663,2018-01-25,395152,CloudPBX,43.6319,-79.3716,20385,AccessLine Communications Corp.,47.6154,-122.2103
76549282,2018-05-04,395152,CloudPBX,43.6319,-79.3716,13768,Cogeco Peer 1,43.6021,-79.5402
64762000,2018-01-04,395152,CloudPBX,43.6319,-79.3716,7794,Execulink Telecom Inc.,42.8551,-80.4918
68127726,2018-02-13,395152,CloudPBX,43.6319,-79.3716,40029,Novus Entertainment Inc.,49.2788,-123.1139
64535131,2018-01-02,395152,CloudPBX,43.6319,-79.3716,15102,WiBand Communications,53.4179,-113.5785
64600445,2018-01-03,395152,CloudPBX,43.6319,-79.3716,6453,TATA COMMUNICATIONS (AMERICA) INC,60.1087,-113.6426
67833681,2018-02-09,395152,CloudPBX,43.6319,-79.3716,53802,382 Communications Corporation,39.9469,-105.2142
78126523,2018-05-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.6572,-79.3783
64718638,2018-01-04,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.5569,-80.4414
66116906,2018-01-23,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.8404,-79.0251
64938861,2018-01-08,395152,CloudPBX,43.6319,-79.3716,11774,"Broadvox, LLC",37.751,-97.822
64553119,2018-01-02,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,48.4993,-123.4003
64718364,2018-01-04,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,46.7589,-71.298
78128948,2018-05-23,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,42.9644,-82.3259
67644186,2018-02-08,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2866,-123.1158
64519009,2018-01-02,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.1707,-122.7326
64680449,2018-01-03,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2666,-123.1976
71135720,2018-03-13,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2167,-122.9167
65401907,2018-01-12,395152,CloudPBX,43.6319,-79.3716,46720,Ubity,45.714,-73.5357
66043152,2018-01-22,395152,CloudPBX,43.6319,-79.3716,22423,Altima Telecom,45.4987,-73.5793
75455811,2018-04-24,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,43.8113,-79.193
65971941,2018-01-22,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,46.7749,-71.3344
66303519,2018-01-25,395152,CloudPBX,43.6319,-79.3716,25668,Cipherkey Exchange Corp.,49.35,-123.0679
73576364,2018-04-05,395152,CloudPBX,43.6319,-79.3716,25668,Cipherkey Exchange Corp.,49.2397,-123.0407
69053215,2018-02-22,395152,CloudPBX,43.6319,-79.3716,25668,Cipherkey Exchange Corp.,49.2795,-123.0667
64579696,2018-01-02,395152,CloudPBX,43.6319,-79.3716,209,"Qwest Communications Company, LLC",37.751,-97.822
66955173,2018-02-01,395152,CloudPBX,43.6319,-79.3716,16276,OVH SAS,45.504,-73.5747
64673820,2018-01-03,395152,CloudPBX,43.6319,-79.3716,10913,Internap Network Services Corporation,37.751,-97.822
71277482,2018-03-14,395152,CloudPBX,43.6319,-79.3716,13896,FUZE INC,37.751,-97.822
64988407,2018-01-08,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.1205,-123.1171
64952041,2018-01-08,395152,CloudPBX,43.6319,-79.3716,27537,"Callcentric Wholesale, Inc.",37.751,-97.822
65925210,2018-01-20,395152,CloudPBX,43.6319,-79.3716,32228,ISN Communications,25.8941,-80.1821
72431987,2018-03-23,395152,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",26.1489,-80.1257
74447148,2018-04-13,395152,CloudPBX,43.6319,-79.3716,10929,eStruxture Data Centers Inc.,45.5061,-73.5573
78661867,2018-05-30,395152,CloudPBX,43.6319,-79.3716,16815,Mobility Apps division,33.4357,-111.9171
67317487,2018-02-05,395152,CloudPBX,43.6319,-79.3716,30176,Priority Colo Inc,43.623,-79.3936
66133525,2018-01-23,395152,CloudPBX,43.6319,-79.3716,12130,Bandwidth.com CLEC LLC,32.7877,-96.8
66140327,2018-01-23,395152,CloudPBX,43.6319,-79.3716,12130,Bandwidth.com CLEC LLC,34.0584,-118.278
71941560,2018-03-20,395152,CloudPBX,43.6319,-79.3716,12130,Bandwidth.com CLEC LLC,40.7214,-74.0052
65399137,2018-01-12,395152,CloudPBX,43.6319,-79.3716,12130,Bandwidth.com CLEC LLC,33.748,-84.3858
66139711,2018-01-23,395152,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",39.7926,-86.2551
66107421,2018-01-23,395152,CloudPBX,43.6319,-79.3716,32385,"IntelePeer, Inc.",37.751,-97.822
64489939,2018-01-01,395152,CloudPBX,43.6319,-79.3716,21808,Peerless Network LLC,37.751,-97.822
75648580,2018-04-25,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,51.0419,-114.2
64668289,2018-01-03,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,53.4617,-113.371
77523808,2018-05-14,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,53.5463,-113.5957
78176066,2018-05-23,395152,CloudPBX,43.6319,-79.3716,32181,GigeNET,42.0643,-87.9921
70172262,2018-03-05,395152,CloudPBX,43.6319,-79.3716,20340,"ISPHONE, INC.",44.8096,-85.5707
64536786,2018-01-02,395152,CloudPBX,43.6319,-79.3716,22964,ISP Telecom,43.6021,-79.5402
64563146,2018-01-02,395152,CloudPBX,43.6319,-79.3716,13768,Cogeco Peer 1,49.2344,-123.1451
75845971,2018-04-27,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,43.6555,-79.3626
70887193,2018-03-12,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,44.4001,-79.6663
70642389,2018-03-08,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,43.7878,-79.1564
75806725,2018-04-27,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,43.6889,-79.4507
66101229,2018-01-23,395152,CloudPBX,43.6319,-79.3716,36493,FIBERNETICS CORPORATION,43.5637,-79.7202
